"","Site","Sample_ID","Replica","Season.x","Nb_plastic","mass_plastic_mg","Code_station","Replicate","Season.y","Volume","Debit (m3/s)","NTU","river","Conc_nb_plastic_m3","Conc_mass_plastic_mg_m3","Flood"
"1","6","6-1-C","1","C",2,0.183,"MUG",1,"B1",167.51616,198,4.8,"Garonne",0.0119391466471056,0.00109243191821016,"Without"
"2","6","6-1-C3","1","C3",7,19.146,"MUG",1,"B4",28.35888,234,7,"Garonne",0.246836264337661,0.675132445286979,"With"
"3","6","6-1-D","1","D",6,9.535,"MUG",1,"B6",69.19488,82.4,3,"Garonne",0.086711617969422,0.13779921288974,"Without"
"4","6","6-2-C","2","C",5,2.016,"MUG",2,"B1",170.19264,198,4.8,"Garonne",0.0293784737107316,0.011845400600167,"Without"
"5","6","6-2-C2","2","C2",1,0.017,"MUG",2,"B3",134.06016,135,2.9,"Garonne",0.00745933765855568,0.000126808740195447,"Without"
"6","6","6-2-C3","2","C3",5,2.236,"MUG",2,"B4",164.68224,234,7,"Garonne",0.0303615010337484,0.0135776632622923,"With"
"7","6","6-2-C4","2","C4",1,1.926,"MUG",2,"B5",117.60768,127,3.2,"Garonne",0.00850284607263743,0.0163764815358997,"Without"
"8","6","6-2-D","2","D",3,0.678,"MUG",2,"B6",67.46304,82.4,3,"Garonne",0.0444687935794177,0.0100499473489484,"Without"
"9","6","6-3-C","3","C",4,0.237,"MUG",3,"B1",174.52224,198,4.8,"Garonne",0.0229197149887602,0.00135799311308404,"Without"
"10","6","6-3-C1","3","C1",2,0.671,"MUG",3,"B2",117.76512,118,2.7,"Garonne",0.0169829572627277,0.00569778216164515,"Without"
"11","6","6-3-C3","3","C3",2,2.254,"MUG",3,"B4",132.87936,234,7,"Garonne",0.0150512464840288,0.0169627547875005,"With"
"12","6","6-3-C4","3","C4",1,0.077,"MUG",3,"B5",112.72704,127,3.2,"Garonne",0.00887098605622928,0.000683065926329654,"Without"
"13","6","6-3-D","3","D",2,0.211,"MUG",3,"B6",65.02272,82.4,3,"Garonne",0.0307584794976279,0.00324501958699974,"Without"
"14","8","8-1-C","1","C",115,57.1446,"LAU",1,"B1",108.71232,1.9,16.2,"Tributary",1.0578377869224,0.525649714770138,"Without"
"15","8","8-1-C1","1","C1",54,14.725,"LAU",1,"B2",64.39296,1.35,7.1,"Tributary",0.83860098992188,0.228674066233327,"Without"
"16","8","8-1-C2","1","C2",42,20.384,"LAU",1,"B3",48.0192,1.26,16.3,"Tributary",0.874650139944022,0.424496867919499,"Without"
"17","8","8-1-C3","1","C3",55,19.083,"LAU",1,"B4",95.17248,2.75,4.6,"Tributary",0.577898148708534,0.200509643123727,"With"
"18","8","8-1-C4","1","C4",32,16.792,"LAU",1,"B5",41.328,1.14,13.4,"Tributary",0.774293457220286,0.406310491676345,"Without"
