"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit (m3/s)","NTU","river","IR_ID_bis","Flood","Sampling_event"
"1","MUG","6-2-C","2","C","FILET","F",1,"4-A8","5","White","Additive",0.174,1.286,0.746,0.823,3.512,1.286,0.746,1.016,0.652636695789062,0.770992581731583,"sphere","MUG",2,"C",170.19264,198,4.8,"Garonne","others","Without","B1"
"2","MUG","6-3-C","3","C","FILET","F",2,"4-D1","3","Blue","Polyester",0.035,0.916,0.894,0.45,2.876,0.916,0.894,0.33,1.62604594243444,0.705808423422407,"fragment","MUG",3,"C",174.52224,198,4.8,"Garonne","others","Without","B1"
"3","LAU","8-1-C","1","C","FILET","B",20,"4-E6","2","Grey","PE",0.203,2.927,0.547,1.077,6.505,2.927,0.547,0.08,1.13039693588643,0.172217503566025,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"4","LAU","8-1-C","1","C","FILET","B",20,"4-E7","3","Black","PP",0.744,1.991,1.739,2.015,5.848,1.991,1.739,0.33,2.14539360652601,0.525077812491033,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PP","Without","B1"
"5","LAU","8-1-C","1","C","FILET","B",20,"4-E8","3","Black","PE",0.181,1.723,1.675,1.224,4.844,1.723,1.675,0.33,2.22134084715822,0.57102185708822,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"6","LAU","8-1-C","1","C","FILET","B",20,"4-F1","3","Black","PE",0.61,2.597,1.642,2.583,7.892,2.597,1.642,0.33,1.77370017155464,0.431500262715024,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"7","LAU","8-1-C","1","C","FILET","B",20,"4-F2","3","Black","PP",0.355,3.07,1.193,2.784,7.202,3.07,1.193,0.33,1.18526179540231,0.346970493820599,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PP","Without","B1"
"8","LAU","8-1-C","1","C","FILET","B",20,"4-F4","3","Black","PP",1.26,3.936,2.544,6.262,12.864,3.936,2.544,0.33,2.23219737025611,0.378419600112674,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PP","Without","B1"
"9","LAU","8-1-C","1","C","FILET","B",20,"4-F6","3","White","PE",0.132,1.853,1.81,1.433,5.155,1.853,1.81,0.33,2.31464235167701,0.558230925097435,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"10","LAU","8-1-C","1","C","FILET","B",20,"4-F7","2","Yellow","PE",0.051,1.579,1.504,1.513,5.454,1.579,1.504,0.08,4.23166985546775,0.364075276273912,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"11","LAU","8-1-C","1","C","FILET","B",20,"4-F8","5","White","PU",0.497,2.802,2.442,4.882,8.935,2.802,2.442,2.622,0.900938716455433,0.934287836972503,"sphere","LAU",1,"C",108.71232,1.9,16.2,"Tributary","others","Without","B1"
"12","LAU","8-1-C","1","C","FILET","B",20,"5-A1","2","Red","PP",0.052,1.493,0.363,0.584,4.397,1.493,0.363,0.08,1.05034440816026,0.235302025440278,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PP","Without","B1"
"13","LAU","8-1-C","1","C","FILET","B",20,"5-A2","2","Red","PE",0.069,1.208,0.364,0.381,2.941,1.208,0.364,0.08,1.17090840379008,0.271239228668729,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"14","LAU","8-1-C","1","C","FILET","B",20,"5-A3","2","Yellow","PE",0.0396,3.132,2.803,4.86,8.692,3.132,2.803,0.08,5.59973180859805,0.283807058608682,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","Without","B1"
"15","LAU","8-1-C","1","C","FILET","B",20,"5-A4","3","White","PS",0.165,2.572,2.241,4.198,8.381,2.572,2.241,0.33,2.43248070746628,0.481731031083323,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PS","Without","B1"
