"","Code_station","Station_name","Date","Time","ID_Sample","Sampling_gear","Mesh_size","Replicate","Season","Crue","Lap_start","Lap_End","Duration_min","Flow_Lmin","Depth of net","Volume","Volume_formula","Observations","Debit (m3/s)","Temperature","O2_mgmL","O2_%","Conductivity","pH","ORP","NTU","COT_mgl_C","NT_mgl_N","PO43_µgl","NH4+_µgl","Ptot_µgl","dry_mass_organic_matter","nb_particles","particles_m3","Site","particles_m3_cor"
"1",11,"Garonne (Gagnac)",2018-10-15,"15H22","PG-18- 11  -FIG-1-A","FILET","500",1,"A","A1","8925","9818","7","9567.8571428571431","0.32",70.29696,"70.296959999999999","NA",100,"19","9.24","99.6","245.8","7.85","293.7",5.8,"NA","NA","NA","NA","NA","1.44",65,0.924648804158814,"GSG",0.725755182016406
"2",11,"Garonne (Gagnac)",2018-10-15,"15H22","PG-18- 11  -FIG-2-A","FILET","500",2,"A","A1","9818","10415","7.15","6262.2377622377617","0.32",46.99584,"46.995840000000001","NA",100,"19","9.24","99.6","245.8","7.85","293.7",5.8,"NA","NA","NA","NA","NA","1.33",6,0.127670874698697,"GSG",0.100208639743433
"3",11,"Garonne (Gagnac)",2018-10-15,"15H22","PG-18- 11  -FIG-3-A","FILET","500",3,"A","A1","10415","10885","7","5035.7142857142853","0.32",36.9984,"36.998399999999997","NA",100,"19","9.24","99.6","245.8","7.85","293.7",5.8,"NA","NA","NA","NA","NA","NA",7,0.189197370697111,"GSG",0.148500675704895
"4",11,"Garonne (Gagnac)",2018-10-16,"14H00","PG-18- 11  -FIG-4-A","FILET","500",1,"A","A2","21979","23372","7.0333333333333332","9506.7298578199061","0.21",71.96238,"71.962379999999982","10-12 cm out of water; area 1,6 m2",219,"16.8","9.48","97.8","239","7.82","229.9",22,"NA","NA","NA","NA","NA","4.2",61,0.847665127251211,"GSG",0.665330832582247
"5",11,"Garonne (Gagnac)",2018-10-16,"14H00","PG-18- 11  -FIG-5-A","FILET","500",2,"A","A2","23376","24851","7.083333333333333","8121.176470588236","0.18",65.313,"65.312999999999988","15 cm out of water; area 1,3 m2",219,"16.8","9.48","97.8","239","7.82","229.9",22,"NA","NA","NA","NA","NA","9.59",40,0.612435502886102,"GSG",0.480699523831397
"6",11,"Garonne (Gagnac)",2018-10-16,"14H00","PG-18- 11  -FIG-6-A","FILET","500",3,"A","A2","24851","26342","6.9833333333333334","10248.400954653938","0.21",77.02506,"77.025059999999996","10-12 cm out of water; area 1,6 m2",219,"16.8","9.48","97.8","239","7.82","229.9",22,"NA","NA","NA","NA","NA","4.4000000000000004",38,0.493345931830498,"GSG",0.38722633387108
"7",11,"Garonne (Gagnac)",2018-10-18,"14H50","PG-18- 11  -FIG-7-A","FILET","500",1,"A","A3","50146","51442","8","9574.2000000000007","0.25",79.704,"79.703999999999994","7 cm out of water; area 1,97 m2",104,"16.600000000000001","9.61","98.7","212.2","7.81","127.9",8.8,"NA","NA","NA","NA","NA","1.23",70,0.878249523235973,"GSG",0.689336469938774
"8",11,"Garonne (Gagnac)",2018-10-18,"14H50","PG-18- 11  -FIG-8-A","FILET","500",2,"A","A3","51457","52561","7.166666666666667","11553.488372093023","0.32",86.90688,"86.906879999999987","NA",104,"16.600000000000001","9.61","98.7","212.2","7.81","127.9",8.8,"NA","NA","NA","NA","NA","0.5",35,0.402729910451278,"GSG",0.31610198179937
"9",11,"Garonne (Gagnac)",2018-10-18,"14H50","PG-18- 11 -FIG-9-A","FILET","500",3,"A","A3","52647","53757","7.333333333333333","11352.272727272728","0.32",87.3792,"87.379199999999997","NA",104,"16.600000000000001","9.61","98.7","212.2","7.81","127.9",8.8,"NA","NA","NA","NA","NA","2.94",38,0.434886105617813,"GSG",0.341341321504431
"10",11,"Garonne (Gagnac)",2018-10-18,"14H50","PG-18- 11  -FIG-10-A","FILET","500",4,"A","A3","53896","55162","7.666666666666667","12384.782608695652","0.32",99.65952,"99.659520000000001","NA",104,"16.600000000000001","9.61","98.7","212.2","7.81","127.9",8.8,"NA","NA","NA","NA","NA","4.4000000000000004",145,1.45495382678945,"GSG",1.14199063973015
"11",11,"Garonne (Gagnac)",2018-10-22,"12H20","PG-18- 11  -FIG-11-A","FILET","500",1,"A","A4","77535","78769","7.0166666666666666","13190.023752969122","0.32",97.14048,"97.140479999999997","NA",65.1,"15.7","10.119999999999999","102","298.39999999999998","7.85","100.6",4.7,"NA","NA","NA","NA","NA","0.92",6,0.0617662173380243,"GSG",0.048480192809424
"12",11,"Garonne (Gagnac)",2018-10-22,"12H20","PG-18- 11 -FIG-12-A","FILET","500",2,"A","A4","78780","80292","7","16199.999999999998","0.32",119.02464,"119.02463999999998","NA",65.1,"15.7","10.119999999999999","102","298.39999999999998","7.85","100.6",4.7,"NA","NA","NA","NA","NA","1.21",8,0.0672129737170388,"GSG",0.052755342087151
"13",11,"Garonne (Gagnac)",2018-10-22,"12H20","PG-18- 11  -FIG-13-A","FILET","500",3,"A","A4","76059","77534","7","15803.571428571429","0.32",116.112,"116.11199999999999","NA",65.1,"15.7","10.119999999999999","102","298.39999999999998","7.85","100.6",4.7,"NA","NA","NA","NA","NA","1.04",18,0.155022736668045,"GSG",0.121677066969822
"14",6,"Garonne (Muret)",2018-10-15,"12H40","PG-18- 6  -FIG-1-A","FILET","500",1,"A","A1","54341","55954","7","17282.142857142859","0.32",126.97536,"126.97535999999998","NA",139,"17","9.39","97.3","263.5","7.87","281",4.9,"NA","NA","NA","NA","NA","NA",4,0.0315021749101558,"MUG",0.0247260003830664
"15",6,"Garonne (Muret)",2018-10-15,"12H41","PG-18- 6  -FIG-2-A","FILET","500",2,"A","A1","55988","57153","7","12482.142857142857","0.32",91.7088,"91.708799999999997","NA",139,"17","9.39","97.3","263.5","7.87","281",4.9,"NA","NA","NA","NA","NA","NA",4,0.0436163159914861,"MUG",0.0342343679123486
"16",6,"Garonne (Muret)",2018-10-15,"12H42","PG-18- 6  -FIG-3-A","FILET","500",3,"A","A1","57172","58357","7","12696.428571428571","0.32",93.2832,"93.283199999999994","NA",139,"17","9.39","97.3","263.5","7.87","281",4.9,"NA","NA","NA","NA","NA","NA",0,0,"MUG",0
"17",6,"Garonne (Muret)",2018-10-16,"9H38","PG-18- 6  -FIG-4-A","FILET","500",1,"A","A2","15157","16373","7","8338.2857142857138","0.2",59.8272,"59.827199999999998","12 cm of net out of water; area 0,16 m2",154,"NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","2.97",10,0.167148053059478,"MUG",0.131194205979889
"18",6,"Garonne (Muret)",2018-10-16,"9H38","PG-18- 6  -FIG-5-A","FILET","500",2,"A","A2","16374","17565","6.9333333333333336","12883.413461538461","0.32",93.75552,"93.755520000000004","NA",154,"NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","6.67",7,0.0746622705521766,"MUG",0.0586022817643164
"19",6,"Garonne (Muret)",2018-10-16,"9H38","PG-18- 6  -FIG-6-A","FILET","500",3,"A","A2","17565","18798","7.1166666666666663","12994.145199063232","0.32",97.06176,"97.061759999999992","NA",154,"NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","2.74",5,0.0515135929948107,"MUG",0.0404329264171596
"20",6,"Garonne (Muret)",2018-10-18,"12H40","PG-18- 6  -FIG-7-A","FILET","500",1,"A","A3","45834","47217","7.2833333333333332","14241.41876430206","0.32",108.86976,"108.86975999999999","NA",83.6,"14.8","9.85","97.3","184.5","7.82","176",9.2,"NA","NA","NA","NA","NA","NA",5,0.0459264354031827,"MUG",0.0360475764803743
"21",6,"Garonne (Muret)",2018-10-18,"12H40","PG-18- 6  -FIG-8-A","FILET","500",2,"A","A3","47300","48628","7.0333333333333332","14161.137440758293","0.32",104.54016,"104.54016","NA",83.6,"14.8","9.85","97.3","184.5","7.82","176",9.2,"NA","NA","NA","NA","NA","0.32",3,0.0286971054951513,"MUG",0.0225243064483544
"22",6,"Garonne (Muret)",2018-10-18,"12H40","PG-18- 6  -FIG-9-A","FILET","500",3,"A","A3","48664","49999","7.0333333333333332","14235.781990521327","0.32",105.0912,"105.09119999999999","NA",83.6,"14.8","9.85","97.3","184.5","7.82","176",9.2,"NA","NA","NA","NA","NA","NA",2,0.0190310891872964,"MUG",0.0149374676471484
"23",6,"Garonne (Muret)",2018-10-22,"8H00","PG-18- 6  -FIG-10-A","FILET","500",1,"A","A4","67484","68934","7.15","15209.79020979021","0.32",114.144,"114.14400000000001","NA",60.3,"14.6","9.31","91.7","212.3","7.76","123.6",3.9,"NA","NA","NA","NA","NA","0.87",0,0,"MUG",0
"24",6,"Garonne (Muret)",2018-10-22,"8H00","PG-18- 6  -FIG-11-A","FILET","500",2,"A","A4","68934","70413","7.0166666666666666","15808.788598574822","0.32",116.42688,"116.42687999999998","NA",60.3,"14.6","9.31","91.7","212.3","7.76","123.6",3.9,"NA","NA","NA","NA","NA","0.02",2,0.0171781636680464,"MUG",0.013483109742355
"25",6,"Garonne (Muret)",2018-10-22,"8H00","PG-18- 6  -FIG-12-A","FILET","500",3,"A","A4","70416","71890","7.0166666666666666","15755.344418052257","0.32",116.03328,"116.03327999999999","NA",60.3,"14.6","9.31","91.7","212.3","7.76","123.6",3.9,"NA","NA","NA","NA","NA","NA",2,0.0172364342367983,"MUG",0.0135288462068813
