"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"1","GSG","11-1-C",1,"C","FILET","A",23,"17-C4",3,"Black","PE",1.021,2.821,1.707,3.911,7.627,2.821,1.707,0.33,1.76919216785942,0.413663399069747,"fragment","GSG",1,"C",33.33792,174,6.8,"Garonne","PE","No","B1"
"2","GSG","11-1-C",1,"C","FILET","A",23,"17-D2",1,"Grey","PE",0.277,1.949,0.283,0.674,4.384,1.949,0.283,0.283,0.381054678536939,0.276258975943127,"line","GSG",1,"C",33.33792,174,6.8,"Garonne","PE","No","B1"
"3","GSG","11-1-C",1,"C","FILET","A",23,"17-D3",2,"Black","PE",0.246,1.623,0.361,0.557,5.098,1.623,0.361,0.08,1.00185056742899,0.222153614171328,"film","GSG",1,"C",33.33792,174,6.8,"Garonne","PE","No","B1"
"4","GSG","11-1-C",1,"C","FILET","A",23,"17-D5",3,"Red","PE",0.068,1.33,0.645,0.633,3.194,1.33,0.645,0.33,0.973591837631211,0.493692796965705,"fragment","GSG",1,"C",33.33792,174,6.8,"Garonne","PE","No","B1"
"5","GSG","11-1-C",1,"C","FILET","A",23,"17-D7",3,"Black","PE",0.257,1.924,1.236,1.436,5.09,1.924,1.236,0.33,1.5511684647786,0.479410371287576,"fragment","GSG",1,"C",33.33792,174,6.8,"Garonne","PE","No","B1"
"6","MUG","6-2-C2",2,"C2","FILET","A",3,"20-A1",1,"Blue","PE",0.017,4.866,0.092,0.715,10.054,4.866,0.092,0.092,0.137501634709858,0.0709703829255084,"line","MUG",2,"C2",134.06016,135,2.9,"Garonne","PE","No","B3"
"7","GSG","11-2-C1",2,"C1","FILET","A",5,"20-A7",2,"White","PE",0.027,1.335,0.946,0.798,3.688,1.335,0.946,0.08,2.89471299024275,0.348877421600251,"film","GSG",2,"C1",28.52124,127,3.6,"Garonne","PE","No","B2"
"8","GSG","11-3-C2",3,"C2","FILET","A",3,"20-B2",3,"Black","PE",0.067,2.328,1.76,1.875,7.241,2.328,1.76,0.33,2.00800231833129,0.474992645415425,"fragment","GSG",3,"C2",37.39692,144,4.2,"Garonne","PE","No","B3"
"9","GSG","11-1-C2",1,"C2","FILET","A",3,"20-B5",2,"White","PE",0,2.088,0.946,1.943,5.928,2.088,0.946,0.08,2.31462636525379,0.258924638302939,"film","GSG",1,"C2",35.9898,144,4.2,"Garonne","PE","No","B3"
"10","GSG","11-1-C2",1,"C2","FILET","A",3,"20-B6",3,"Green","PE",0.467,1.856,1.464,1.805,5.25,1.856,1.464,0.33,1.87066112397525,0.519556789236263,"fragment","GSG",1,"C2",35.9898,144,4.2,"Garonne","PE","No","B3"
"11","MUG","6-3-C1",3,"C1","FILET","A",6,"20-B7",3,"White","PE",0.593,3.26,2.246,6.74,14.188,3.26,2.246,0.33,2.16542916595405,0.411619711461462,"fragment","MUG",3,"C1",117.76512,118,2.7,"Garonne","PE","No","B2"
"12","GSG","11-3-C3",3,"C3","FILET","A",21,"20-C6",3,"Black","PE",0.063,1.373,0.654,0.729,4.545,1.373,0.654,0.33,0.971595533756538,0.485568163827655,"fragment","GSG",3,"C3",27.9456,242,8.4,"Garonne","PE","Yes","B4"
"13","GSG","11-3-C3",3,"C3","FILET","A",21,"20-D8",2,"Yellow","PE",1.103,4.273,2.365,6.837,11.359,4.273,2.365,0.08,4.04501098322796,0.218014367610185,"film","GSG",3,"C3",27.9456,242,8.4,"Garonne","PE","Yes","B4"
"14","GSG","11-3-C3",3,"C3","FILET","A",21,"20-E1",2,"Yellow","PE",0.421,2.789,1.128,2.721,7.202,2.789,1.128,0.08,2.38803038839354,0.226377896095217,"film","GSG",3,"C3",27.9456,242,8.4,"Garonne","PE","Yes","B4"
"15","GSG","11-3-C3",3,"C3","FILET","A",21,"20-E7",2,"Green","PE",0.166,1.342,0.351,0.403,2.953,1.342,0.351,0.08,1.07123774114927,0.249822005597121,"film","GSG",3,"C3",27.9456,242,8.4,"Garonne","PE","Yes","B4"
"16","GSG","11-2-C3",2,"C3","FILET","A",24,"21-A8",5,"Black","PE",14.048,4.046,3.446,10.649,12.119,4.046,3.446,3.746,0.885153207375924,0.92386907436722,"sphere","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"17","GSG","11-2-C3",2,"C3","FILET","A",24,"21-B5",3,"Black","PE",0.145,2.335,0.62,1.185,6.975,2.335,0.62,0.33,0.70630336787572,0.334793707313921,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"18","GSG","11-2-C3",2,"C3","FILET","A",24,"21-C1",3,"Blue","PE",0.587,1.317,0.926,1.017,3.911,1.317,0.926,0.33,1.4046273784512,0.560597459810268,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"19","GSG","11-2-C3",2,"C3","FILET","A",24,"21-C6",2,"Blue","PE",0,1.456,0.533,0.551,3.667,1.456,0.533,0.08,1.56171408806386,0.27195568931388,"film","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"20","GSG","11-2-C2",2,"C2","FILET","A",11,"24-A2",3,"White","PE",0.211,2.518,0.776,1.68,5.867,2.518,0.776,0.33,0.851288738859244,0.343100541273656,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"21","GSG","11-2-C2",2,"C2","FILET","A",11,"24-A3",3,"Black","PE",0.06,2.144,0.492,0.815,4.822,2.144,0.492,0.33,0.584919018157129,0.328102717074796,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"22","GSG","11-2-C2",2,"C2","FILET","A",11,"24-A4",3,"Black","PE",0.084,1.421,0.734,0.926,3.992,1.421,0.734,0.33,1.07186983996708,0.493182072498713,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"23","GSG","11-2-C2",2,"C2","FILET","A",11,"24-A5",3,"Blue","PE",0.551,1.481,1.204,1.482,4.437,1.481,1.204,0.33,1.7222333218349,0.565818013875927,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"24","GSG","11-2-C2",2,"C2","FILET","A",11,"24-A6",3,"Black","PE",0.045,1.9,0.598,0.886,4.642,1.9,0.598,0.33,0.755209446322669,0.379521141843375,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"25","GSG","11-2-C2",2,"C2","FILET","A",11,"24-A8",3,"Black","PE",0.03,0.753,0.405,0.191,2.347,0.753,0.405,0.33,0.812457337358193,0.617721907079458,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"26","GSG","11-2-C2",2,"C2","FILET","A",11,"24-B1",3,"Green","PE",0.055,1.033,0.389,0.362,2.782,1.033,0.389,0.33,0.666258051900065,0.493652074093547,"fragment","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"27","GSG","11-2-C2",2,"C2","FILET","A",11,"24-B2",2,"Yellow","PE",0,3.09,1.057,2.182,7.989,3.09,1.057,0.08,2.12593877987887,0.206894687114319,"film","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"28","GSG","11-2-C2",2,"C2","FILET","A",11,"24-B3",2,"Yellow","PE",0.108,1.377,0.792,0.862,4.093,1.377,0.792,0.08,2.38623503600522,0.322093847623003,"film","GSG",2,"C2",39.39936,144,4.2,"Garonne","PE","No","B3"
"29","MUG","6-3-C4",3,"C4","FILET","A",2,"24-D2",3,"Blue","PE",0.077,0.884,0.477,0.356,2.4,0.884,0.477,0.33,0.883151633581677,0.586195656701941,"fragment","MUG",3,"C4",112.72704,127,3.2,"Garonne","PE","No","B5"
"30","GSG","11-1-C4",1,"C4","FILET","A",7,"24-D8",3,"Blue","PE",0.475,2.893,1.212,1.856,8.478,2.893,1.212,0.33,1.2404276347661,0.36288852110135,"fragment","GSG",1,"C4",141.06624,134,5.1,"Garonne","PE","No","B5"
"31","GSG","11-1-C4",1,"C4","FILET","A",7,"24-E1",1,"Red","PE",0.071,3.454,0.326,1.302,9.917,3.454,0.326,0.326,0.307218690321222,0.207298826957668,"line","GSG",1,"C4",141.06624,134,5.1,"Garonne","PE","No","B5"
"32","GSG","11-1-C3",1,"C3","FILET","B",22,"27-D5",4,"Blue","PE",4.8,3.809,2.76,9.43,11.787,3.809,2.76,1.9045,1.02473862750059,0.712890298506552,"pellet","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"33","GSG","11-1-C3",1,"C3","FILET","B",22,"27-D8",3,"White","PE",1.905,3.683,2.112,6.874,10.581,3.683,2.112,0.33,1.91573787047681,0.371764690279252,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"34","GSG","11-1-C3",1,"C3","FILET","B",22,"27-E2",3,"Black","PE",0.831,3.207,1.106,3.162,10.458,3.207,1.106,0.33,1.07509954254117,0.328617269182636,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"35","GSG","11-1-C3",1,"C3","FILET","B",22,"27-E7",2,"Black","PE",0.293,1.939,1.466,1.799,5.039,1.939,1.466,0.08,3.72220314958033,0.314791342484397,"film","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"36","GSG","11-1-C3",1,"C3","FILET","B",22,"27-F3",2,"Yellow","PE",1.076,4.067,3.172,8.683,12.179,4.067,3.172,0.08,5.56097700119051,0.248480096440031,"film","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"37","GSG","11-1-C3",1,"C3","FILET","B",22,"27-F5",3,"Black","PE",0.064,1.039,0.492,0.345,2.715,1.039,0.492,0.33,0.840234208564971,0.531801203513339,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"38","GSG","11-1-C3",1,"C3","FILET","B",22,"27-F8",3,"Black","PE",0.123,1.322,0.715,0.648,3.227,1.322,0.715,0.33,1.0825135577083,0.51300195928162,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"39","GSG","11-1-C3",1,"C3","FILET","B",22,"28-A1",3,"Grey","PE",0.128,1.484,0.429,0.395,3.142,1.484,0.429,0.33,0.613032319977444,0.400590958985347,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"40","GSG","11-1-C3",1,"C3","FILET","B",22,"28-A2",3,"Black","PE",0.041,1.399,0.333,0.247,3.215,1.399,0.333,0.33,0.490092894818949,0.382919586679178,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"41","MUG","6-3-C3",3,"C3","FILET","A",3,"30-A7",3,"Green","PE",2.214,3.369,1.728,0.413,7.535,3.369,1.728,0.33,1.63883889531448,0.368993360745588,"fragment","MUG",3,"C3",132.87936,234,7,"Garonne","PE","Yes","B4"
"42","GSG","11-2-C4",2,"C4","FILET","A",3,"30-B9",1,"Black","PE",0.039,1.835,0.289,0.646,4.302,1.835,0.289,0.289,0.39685411426732,0.291636033468202,"line","GSG",2,"C4",98.0064,134,5.1,"Garonne","PE","No","B5"
"43","MUG","6-2-C4",2,"C4","FILET","A",2,"30-B11",3,"Red","PE",1.926,2.576,1.323,4.134,10.557,2.576,1.323,0.33,1.43492745406134,0.403701802860501,"fragment","MUG",2,"C4",117.60768,127,3.2,"Garonne","PE","No","B5"
"44","MUG","6-2-C3",2,"C3","FILET","A",6,"30-B12",3,"White","PE",0.172,4.263,1.258,3.036,7.198,4.263,1.258,0.33,1.06063512333335,0.28374048401218,"fragment","MUG",2,"C3",164.68224,234,7,"Garonne","PE","Yes","B4"
"45","MUG","6-2-C3",2,"C3","FILET","A",6,"30-C1",3,"Grey","PE",1.823,2.717,1.656,4.301,8.912,2.717,1.656,0.33,1.74887408871474,0.419886261716662,"fragment","MUG",2,"C3",164.68224,234,7,"Garonne","PE","Yes","B4"
"46","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E2",3,"Grey","PE",0.05,1.542,0.484,0.713,3.135,1.542,0.484,0.33,0.67849430207045,0.406502778154262,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"47","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E7",3,"Green","PE",0.032,0.745,0.563,0.128,1.813,0.745,0.563,0.33,1.13546378852424,0.694336394194923,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"48","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E8",3,"Grey","PE",0.034,1.183,0.197,0.531,3.33,1.183,0.197,0.33,0.315294854960705,0.359476269074416,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"49","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E10",2,"Yellow","PE",0.497,3.41,2.38,6.005,9.846,3.41,2.38,0.08,4.55674550735153,0.253933147251182,"film","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"50","GSG","11-2-C3",2,"C3","FILET","B",22,"30-E11",3,"Blue","PE",0.017,1.435,2.543,0.274,3.327,1.435,2.543,0.33,3.69541689228879,0.7413992903055,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"51","GSG","11-2-C3",2,"C3","FILET","B",22,"30-F8",3,"Black","PE",0.252,3.821,1.653,2.363,9.299,3.821,1.653,0.33,1.47206628058942,0.334306052451096,"fragment","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"52","GSG","11-2-C3",2,"C3","FILET","B",22,"30-F9",2,"Yellow","PE",0.957,4.037,1.208,7.486,11.323,4.037,1.208,0.08,2.1256539596103,0.181000513715635,"film","GSG",2,"C3",85.48992,242,8.4,"Garonne","PE","Yes","B4"
"53","GSG","11-1-C3",1,"C3","FILET","A",30,"30-G1",2,"Yellow","PE",0.231,1.92,3.487,1.971,5.519,1.92,3.487,0.08,8.89726118029682,0.422973500037112,"film","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"54","GSG","11-1-C3",1,"C3","FILET","A",30,"30-G6",1,"Black","PE",0.02,2.151,1.027,0.441,5.036,2.151,1.027,1.027,0.690979267232552,0.61087641142773,"line","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
"55","GSG","11-1-C3",1,"C3","FILET","A",30,"30-H3",3,"Yellow","PE",1.977,3.593,1.067,6.631,12.162,3.593,1.067,0.33,0.979893418871708,0.301014887249725,"fragment","GSG",1,"C3",42.5088,242,8.4,"Garonne","PE","Yes","B4"
