"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"1","LAU","8-1-C",1,"C","FILET","B",20,"4-E6",2,"Grey","PE",0.203,2.927,0.547,1.077,6.505,2.927,0.547,0.08,1.13039693588643,0.172217503566025,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"2","LAU","8-1-C",1,"C","FILET","B",20,"4-E8",3,"Black","PE",0.181,1.723,1.675,1.224,4.844,1.723,1.675,0.33,2.22134084715822,0.57102185708822,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"3","LAU","8-1-C",1,"C","FILET","B",20,"4-F1",3,"Black","PE",0.61,2.597,1.642,2.583,7.892,2.597,1.642,0.33,1.77370017155464,0.431500262715024,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"4","LAU","8-1-C",1,"C","FILET","B",20,"4-F6",3,"White","PE",0.132,1.853,1.81,1.433,5.155,1.853,1.81,0.33,2.31464235167701,0.558230925097435,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"5","LAU","8-1-C",1,"C","FILET","B",20,"4-F7",2,"Yellow","PE",0.051,1.579,1.504,1.513,5.454,1.579,1.504,0.08,4.23166985546775,0.364075276273912,"film","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"6","LAU","8-2-C",2,"C","FILET","E",20,"11-E8",1,"Red","PE",0.067,1.87,0.293,0.521,4.328,1.87,0.293,0.293,0.395833919691845,0.29063684866031,"line","LAU",2,"C",115.16736,1.9,16.2,"Tributary","PE","No","B1"
"7","LAU","8-2-C",2,"C","FILET","E",20,"12-A2",3,"Black","PE",0.504,2.818,1.061,1.055,4.064,2.818,1.061,0.33,1.10024124033436,0.353277340301216,"fragment","LAU",2,"C",115.16736,1.9,16.2,"Tributary","PE","No","B1"
"8","LAU","8-2-C",2,"C","FILET","A",22,"12-A8",3,"Black","PE",4.569,1.61,2.098,13.294,27.484,1.61,2.098,0.33,2.87829680695726,0.644004977300553,"fragment","LAU",2,"C",115.16736,1.9,16.2,"Tributary","PE","No","B1"
"9","LAU","8-2-C",2,"C","FILET","A",22,"12-B5",3,"Black","PE",0.096,2.646,0.369,0.805,5.674,2.646,0.369,0.33,0.394888490871327,0.259091724771234,"fragment","LAU",2,"C",115.16736,1.9,16.2,"Tributary","PE","No","B1"
"10","LAU","8-2-C",2,"C","FILET","A",22,"12-B8",3,"Black","PE",0.199,2.302,0.758,1.34,5.272,2.302,0.758,0.33,0.869680186857366,0.361402236351477,"fragment","LAU",2,"C",115.16736,1.9,16.2,"Tributary","PE","No","B1"
"11","LAU","8-2-C",2,"C","FILET","A",22,"12-D2",3,"Black","PE",0.395,2.537,0.822,1.596,5.883,2.537,0.822,0.33,0.898368703509159,0.348001894046325,"fragment","LAU",2,"C",115.16736,1.9,16.2,"Tributary","PE","No","B1"
"12","LAU","8-3-C",3,"C","FILET","B",29,"12-E1",3,"Blue","PE",0.051,0.896,0.527,0.321,2.33,0.896,0.527,0.33,0.969169281560423,0.600578128017884,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"13","LAU","8-3-C",3,"C","FILET","B",29,"12-E2",3,"Green","PE",0.067,0.783,0.565,0.389,2.406,0.783,0.565,0.33,1.11150289156952,0.672480384838301,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"14","LAU","8-3-C",3,"C","FILET","B",29,"12-E3",3,"Black","PE",0.12,1.298,0.599,0.547,3.113,1.298,0.599,0.33,0.915234760514172,0.4895500798936,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"15","LAU","8-3-C",3,"C","FILET","B",29,"12-E5",3,"Red","PE",2.534,2.661,2.341,4.218,8.062,2.661,2.341,0.33,2.49817010227623,0.477831967843157,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"16","LAU","8-3-C",3,"C","FILET","B",29,"12-E7",3,"Black","PE",1.186,2.539,2.123,3.75,9.098,2.539,2.123,0.33,2.3193253445403,0.4772136352351,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"17","LAU","8-3-C",3,"C","FILET","B",29,"13-A2",3,"Blue","PE",0.261,3.196,0.858,2.125,9.078,3.196,0.858,0.33,0.835462444919632,0.302642021253385,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"18","LAU","8-3-C",3,"C","FILET","B",29,"13-A6",3,"Black","PE",0.573,3.646,1.185,3.292,8.4,3.646,1.185,0.33,1.08032157205506,0.308697411044244,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"19","LAU","8-3-C",3,"C","FILET","B",29,"13-A7",3,"Black","PE",0.387,1.735,1.167,1.673,5.224,1.735,1.167,0.33,1.54228326631836,0.503881730911271,"fragment","LAU",3,"C",120.59904,1.9,16.2,"Tributary","PE","No","B1"
"20","LAU","8-1-C",1,"C","FILET","D",45,"14-B1",3,"Red","PE",0.14,1.616,1.008,1.01,4.022,1.616,1.008,0.33,1.38032986313167,0.503149740498466,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"21","LAU","8-1-C",1,"C","FILET","D",45,"14-C5",3,"Black","PE",0.419,2.149,1.415,2.415,5.837,2.149,1.415,0.33,1.68027846814207,0.465871185244922,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"22","LAU","8-1-C",1,"C","FILET","D",45,"14-D5",5,"White","PE",0.272,2.535,2.547,5.036,8.071,2.535,2.547,2.541,1.00354680036994,1.00236500096294,"sphere","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"23","LAU","8-1-C",1,"C","FILET","D",45,"14-E3",3,"Green","PE",0.303,1.331,0.865,1.057,4.417,1.331,0.865,0.33,1.30517909708531,0.544157532742786,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
"24","LAU","8-1-C",1,"C","FILET","D",45,"14-E7",3,"Blue","PE",0.31,1.642,0.627,0.733,3.66,1.642,0.627,0.33,0.851773245288058,0.42495706941102,"fragment","LAU",1,"C",108.71232,1.9,16.2,"Tributary","PE","No","B1"
